raw_code,N,year,variable
1,1716,2023,MEDNG12M_A
8,223,2023,MEDNG12M_A
7,12,2023,MEDNG12M_A
9,11,2023,MEDNG12M_A
1,21425,2023,RX12M_A
2,7781,2023,RX12M_A
8,269,2023,RX12M_A
7,34,2023,RX12M_A
9,13,2023,RX12M_A
2,20529,2023,RXSK12M_A
,8097,2023,RXSK12M_A
1,891,2023,RXSK12M_A
7,1,2023,RXSK12M_A
9,3,2023,RXSK12M_A
8,1,2023,RXSK12M_A
2,20410,2023,RXLS12M_A
,8097,2023,RXLS12M_A
1,1010,2023,RXLS12M_A
8,2,2023,RXLS12M_A
9,3,2023,RXLS12M_A
2,20152,2023,RXDL12M_A
,8097,2023,RXDL12M_A
1,1267,2023,RXDL12M_A
9,3,2023,RXDL12M_A
8,3,2023,RXDL12M_A
2,27565,2023,RXDG12M_A
1,1671,2023,RXDG12M_A
8,274,2023,RXDG12M_A
7,7,2023,RXDG12M_A
9,5,2023,RXDG12M_A
2,31349,2024,STREV_A
1,1246,2024,STREV_A
7,21,2024,STREV_A
9,13,2024,STREV_A
2,29791,2024,MEDDL12M_A
8,255,2024,MEDDL12M_A
1,2564,2024,MEDDL12M_A
7,10,2024,MEDDL12M_A
9,9,2024,MEDDL12M_A
2,30159,2024,MEDNG12M_A
8,259,2024,MEDNG12M_A
1,2195,2024,MEDNG12M_A
7,10,2024,MEDNG12M_A
9,6,2024,MEDNG12M_A
2,8081,2024,RX12M_A
1,24215,2024,RX12M_A
8,296,2024,RX12M_A
7,21,2024,RX12M_A
9,16,2024,RX12M_A
,8414,2024,RXSK12M_A
2,23215,2024,RXSK12M_A
1,993,2024,RXSK12M_A
9,2,2024,RXSK12M_A
7,2,2024,RXSK12M_A
8,3,2024,RXSK12M_A
,8414,2024,RXLS12M_A
2,23133,2024,RXLS12M_A
1,1077,2024,RXLS12M_A
8,3,2024,RXLS12M_A
7,1,2024,RXLS12M_A
9,1,2024,RXLS12M_A
,8414,2024,RXDL12M_A
2,22788,2024,RXDL12M_A
1,1421,2024,RXDL12M_A
8,5,2024,RXDL12M_A
7,1,2024,RXDL12M_A
2,30355,2024,RXDG12M_A
1,1953,2024,RXDG12M_A
8,302,2024,RXDG12M_A
7,8,2024,RXDG12M_A
9,11,2024,RXDG12M_A
2,23275,2025,STREV_A
1,904,2025,STREV_A
9,15,2025,STREV_A
7,21,2025,STREV_A
2,22457,2025,MEDDL12M_A
1,1564,2025,MEDDL12M_A
8,187,2025,MEDDL12M_A
7,5,2025,MEDDL12M_A
9,2,2025,MEDDL12M_A
2,22667,2025,MEDNG12M_A
8,188,2025,MEDNG12M_A
1,1351,2025,MEDNG12M_A
7,5,2025,MEDNG12M_A
9,4,2025,MEDNG12M_A
1,18150,2025,RX12M_A
2,5818,2025,RX12M_A
8,213,2025,RX12M_A
9,12,2025,RX12M_A
7,22,2025,RX12M_A
2,17450,2025,RXSK12M_A
,6065,2025,RXSK12M_A
1,699,2025,RXSK12M_A
7,1,2025,RXSK12M_A
2,17364,2025,RXLS12M_A
,6065,2025,RXLS12M_A
1,782,2025,RXLS12M_A
7,1,2025,RXLS12M_A
9,2,2025,RXLS12M_A
8,1,2025,RXLS12M_A
2,17132,2025,RXDL12M_A
,6065,2025,RXDL12M_A
1,1013,2025,RXDL12M_A
7,1,2025,RXDL12M_A
8,2,2025,RXDL12M_A
9,2,2025,RXDL12M_A
2,22611,2025,RXDG12M_A
8,216,2025,RXDG12M_A
1,1377,2025,RXDG12M_A
7,7,2025,RXDG12M_A
9,4,2025,RXDG12M_A
