year,variable,pdf_page,question,universe,notes
2022,DISAB3_A,167,,HHSTAT_A=1,"The final recode variable created for Washington Group Adult Composite Disability Indicator. Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Sample adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability."
2022,NOTCOV_A,172,,HHSTAT_A=1,"Adults are considered uninsured if they did not have private health insurance, Medicare, Medicaid, State Children's Health Insurance Program (CHIP), a state- sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview. This definition of uninsured matches that used in Health United States."
2022,MEDICARE_A,178,,HHSTAT_A=1,
2022,MEDICAID_A,186,,HHSTAT_A=1,
2022,PRIVATE_A,192,,HHSTAT_A=1,
2022,CHIP_A,238,,HHSTAT_A=1,
2022,OTHPUB_A,244,,HHSTAT_A=1,
2022,OTHGOV_A,251,,HHSTAT_A=1,
2022,MILITARY_A,258,,HHSTAT_A=1,
2022,SMKCIGST_A,400,,HHSTAT_A=1,Some day smokers includes those who reported smoking zero days in the past 30 days.
2023,EDUCP_A,25,,HHSTAT=1,
2023,PHSTAT_A,33,"Would you say your health in general is excellent, very good, good, fair, or poor?",HHSTAT_A=1,
2023,HYPEV_A,35,"Have you EVER been told by a doctor or other health professional that you had ...Hypertension, also called high blood pressure? * Enter '1' if respondent is taking medication to control his/her high blood pressure.",HHSTAT_A=1,
2023,CHDEV_A,42,Have you EVER been told by a doctor or other health professional that you had ...Coronary heart disease?,HHSTAT_A=1,
2023,DIBEV_A,118,"^NOTPREGDM a doctor or other health professional EVER told you that you had diabetes? Fills: ^NOTPREGDM.............. Has/Not including (gestational diabetes, prediabetes), has",HHSTAT_A=1,
2023,DISAB3_A,184,,HHSTAT_A=1,"The final recode variable created for Washington Group Adult Composite Disability Indicator. Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Sample adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability."
2023,NOTCOV_A,189,,HHSTAT_A=1,"Adults are considered uninsured if they did not have private health insurance, Medicare, Medicaid, State Children's Health Insurance Program (CHIP), a state- sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview. This definition of uninsured matches that used in Health United States."
2023,MEDICARE_A,195,,HHSTAT_A=1,
2023,MEDICAID_A,203,,HHSTAT_A=1,
2023,PRIVATE_A,209,,HHSTAT_A=1,
2023,CHIP_A,255,,HHSTAT_A=1,
2023,OTHPUB_A,261,,HHSTAT_A=1,
2023,OTHGOV_A,268,,HHSTAT_A=1,
2023,MILITARY_A,275,,HHSTAT_A=1,
2023,SMKCIGST_A,501,,HHSTAT_A=1,Some day smokers includes those who reported smoking zero days in the past 30 days.
2024,EDUCP_A,26,,HHSTAT=1,
2024,PHSTAT_A,32,"Would you say your health in general is excellent, very good, good, fair, or poor?",HHSTAT_A=1,
2024,HYPEV_A,34,"Have you EVER been told by a doctor or other health professional that you had ...Hypertension, also called high blood pressure? * Enter '1' if respondent is taking medication to control his/her high blood pressure.",HHSTAT_A=1,
2024,CHDEV_A,41,Have you EVER been told by a doctor or other health professional that you had ...Coronary heart disease?,HHSTAT_A=1,
2024,DIBEV_A,113,"^NOTPREGDM a doctor or other health professional EVER told you that you had diabetes? Fills: ^NOTPREGDM.............. Has/Not including (gestational diabetes, prediabetes), has",HHSTAT_A=1,
2024,DISAB3_A,181,,HHSTAT_A=1,"Indicator of disability status based on the Washington Group Short Set on Functioning (WG-SS) that identifies Sample Adults who are at greater risk than the general population for experiencing restrictions in participation because of difficulties doing certain universal, basic actions. This recode classifies Sample Adults with disability as those reporting “a lot of difficulty” or “cannot do at all” for at least one of six domains of functioning: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). The remaining Sample Adults, that is those who responded ""some difficulty"" or “no difficulty"" to at least one domain (and did not report “a lot of difficulty” or “cannot do at all” for any of the six domains of functioning) are classified as without disability. Those responding ""don't know"" or ""refused"" to all six questions are excluded."
2024,NOTCOV_A,187,,HHSTAT_A=1,"Adults are considered uninsured if they did not have private health insurance, Medicare, Medicaid, State Children's Health Insurance Program (CHIP), a state- sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview. This definition of uninsured matches that used in Health United States."
2024,MEDICARE_A,193,,HHSTAT_A=1,
2024,MEDICAID_A,201,,HHSTAT_A=1,
2024,PRIVATE_A,207,,HHSTAT_A=1,
2024,CHIP_A,253,,HHSTAT_A=1,
2024,OTHPUB_A,259,,HHSTAT_A=1,
2024,OTHGOV_A,266,,HHSTAT_A=1,
2024,MILITARY_A,273,,HHSTAT_A=1,
2024,SMKCIGST_A,431,,HHSTAT_A=1,Some day smokers includes those who reported smoking zero days in the past 30 days.
2025,EDUCP_A,26,,HHSTAT=1,"Grades 0-11 include those who never attended school, completed kindergarten only, or grades 1-11. In 2019-2024, the category 0 for “Never attended/kindergarten only” was listed as a separate category even though the data for this level was combined with those in “grades 1-11""."
2025,PHSTAT_A,32,"Would you say your health in general is excellent, very good, good, fair, or poor?",HHSTAT_A=1,
2025,HYPEV_A,34,"Have you EVER been told by a doctor or other health professional that you had ...Hypertension, also called high blood pressure? * Enter '1' if respondent is taking medication to control his/her high blood pressure.",HHSTAT_A=1,
2025,CHDEV_A,41,Have you EVER been told by a doctor or other health professional that you had ...Coronary heart disease?,HHSTAT_A=1,
2025,DIBEV_A,115,"^NOTPREGDM a doctor or other health professional EVER told you that you had diabetes? Fills: ^NOTPREGDM.............. Has/Not including (gestational diabetes, prediabetes), has",HHSTAT_A=1,
2025,DISAB3_A,182,,HHSTAT_A=1,"Indicator of disability status based on the Washington Group Short Set on Functioning (WG-SS) that identifies Sample Adults who are at greater risk than the general population for experiencing restrictions in participation because of difficulties doing certain universal, basic actions. This recode classifies Sample Adults with disability as those reporting “a lot of difficulty” or “cannot do at all” for at least one of six domains of functioning: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). The remaining Sample Adults, that is those who responded ""some difficulty"" or “no difficulty"" to at least one domain (and did not report “a lot of difficulty” or “cannot do at all” for any of the six domains of functioning) are classified as without disability. Those responding ""don't know"" or ""refused"" to all six questions are excluded."
2025,NOTCOV_A,188,,HHSTAT_A=1,"Adults are considered uninsured if they did not have private health insurance, Medicare, Medicaid, State Children's Health Insurance Program (CHIP), a state- sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview. This definition of uninsured matches that used in Health United States."
2025,MEDICARE_A,194,,HHSTAT_A=1,
2025,MEDICAID_A,202,,HHSTAT_A=1,
2025,PRIVATE_A,208,,HHSTAT_A=1,
2025,CHIP_A,254,,HHSTAT_A=1,
2025,OTHPUB_A,260,,HHSTAT_A=1,
2025,OTHGOV_A,267,,HHSTAT_A=1,
2025,MILITARY_A,274,,HHSTAT_A=1,
2025,SMKCIGST_A,465,,HHSTAT_A=1,Some day smokers includes those who reported smoking zero days in the past 30 days.
