year,group,basis,outcome,n,events,estimate,se,lower,upper,design_df,effective_n,precision_flag
2019,All survivors,annual_full_weight,any_barrier,1191,231,0.20582468620476,0.0143895357341935,0.178976314052143,0.235545132606235,434,789.442096588954,passes_initial_screen
2019,All survivors,annual_full_weight,universal_barrier,1192,199,0.173759674409636,0.0138758629216694,0.14815156613817,0.202740680736936,435,745.650614057643,passes_initial_screen
2019,All survivors,annual_full_weight,delayed_care,1195,123,0.113576730095288,0.0117543363905043,0.0924411806290236,0.13880558147557,435,728.675686368418,passes_initial_screen
2019,All survivors,annual_full_weight,forgone_care,1194,128,0.111321841496624,0.0115796332667609,0.0905150154032804,0.136195326183068,435,737.794269567847,passes_initial_screen
2019,All survivors,annual_full_weight,forgone_rx,1192,117,0.0980295525757468,0.0103582814669489,0.0794706510054451,0.120355876204436,435,824.088612228072,passes_initial_screen
2019,All survivors,annual_full_weight,rx_underuse,1132,127,0.122005749059623,0.0121670355189541,0.100035744572367,0.14800731047292,424,723.606427822941,passes_initial_screen
2019,18-64,annual_full_weight,any_barrier,426,135,0.305317948138784,0.0274616488793539,0.254041795271933,0.361922331371963,237,281.245248131625,passes_initial_screen
2019,65+,annual_full_weight,any_barrier,765,96,0.128811156900057,0.0156322419635885,0.101061830310413,0.162799947497679,351,459.222595103524,passes_initial_screen
2020,All survivors,annual_full_weight,any_barrier,1051,156,0.172668853343708,0.0159200569498561,0.143579536030449,0.206232484181227,428,563.643036090777,passes_initial_screen
2020,All survivors,annual_full_weight,universal_barrier,1052,133,0.147334333241475,0.0154379481321975,0.119497306114382,0.180327959094593,429,527.112825275108,passes_initial_screen
2020,All survivors,annual_full_weight,delayed_care,1051,79,0.0790596503904489,0.0108074860982419,0.0602593472043393,0.103082057924904,428,623.357256871151,passes_initial_screen
2020,All survivors,annual_full_weight,forgone_care,1051,76,0.0863609558937468,0.0120248272669448,0.0654703060832881,0.113110709040777,428,545.675428690633,passes_initial_screen
2020,All survivors,annual_full_weight,forgone_rx,1052,76,0.0938369116335598,0.0136954640550444,0.0701601125927133,0.124434601558197,429,453.342639256557,passes_initial_screen
2020,All survivors,annual_full_weight,rx_underuse,982,95,0.1207230122483,0.0139433701192203,0.0958847135293485,0.150921464793818,414,545.984431387897,passes_initial_screen
2020,18-64,annual_full_weight,any_barrier,362,94,0.280610358038396,0.0311029843492159,0.223559095651481,0.345737832881727,226,208.671796323267,passes_initial_screen
2020,65+,annual_full_weight,any_barrier,689,62,0.0916321899635077,0.0137606679003206,0.0679239748799976,0.12252770980917,347,439.57276268102,passes_initial_screen
2021,All survivors,annual_full_weight,any_barrier,1001,179,0.194155539371655,0.0160527479406227,0.164530821592901,0.227660843889347,427,607.158721359097,passes_initial_screen
2021,All survivors,annual_full_weight,universal_barrier,1001,153,0.169182531638364,0.0151112010872816,0.141517702707435,0.200989311866288,427,615.54976375167,passes_initial_screen
2021,All survivors,annual_full_weight,delayed_care,1003,72,0.0801707178503012,0.0111766858798589,0.0607719488308888,0.105068984259933,427,590.332798041611,passes_initial_screen
2021,All survivors,annual_full_weight,forgone_care,1002,69,0.0759141616057852,0.0109988698803538,0.0569269898350134,0.100558958604882,427,579.881143012038,passes_initial_screen
2021,All survivors,annual_full_weight,forgone_rx,1000,101,0.118285736962463,0.0133621485570572,0.0944400109256827,0.147173873739271,427,584.127502452414,passes_initial_screen
2021,All survivors,annual_full_weight,rx_underuse,950,92,0.101184282353648,0.0114692521778425,0.0807629141309863,0.126061183585666,417,691.374743811949,passes_initial_screen
2021,18-64,annual_full_weight,any_barrier,324,100,0.320004953199679,0.0319261925144061,0.26053974807713,0.385958424855927,189,213.485406939673,passes_initial_screen
