n,events,estimate,se,lower,upper,df,effective_n,reliability,complete_case
6777,1117,0.178431729999263,0.00612468937983043,0.166529476664425,0.190817978887474,1021,3898.67768836932,adequate,TRUE
327,67,0.192470750583024,0.0280179536411928,0.139695192114823,0.254827356549432,185,195.411197001668,adequate,FALSE
