variable,level,reference,PR,lower,upper,p_reference,p_level
income_group,200-399%,400%+,1.9863222074403,1.58715118028533,2.48588537801498,0.0957337427503782,0.19011126633582
income_group,100-199%,400%+,2.4079894530609,1.87885737777348,3.08613802976567,0.0957337427503782,0.230485392982013
income_group,<100%,400%+,1.90816732240464,1.44824176216031,2.51415380044113,0.0957337427503782,0.182634486677624
insurance,Public without private,Private,0.720087606204872,0.626687332445888,0.827408076984921,0.201009208030546,0.144743363863669
insurance,Military only,Private,0.829899569095302,0.520656014226,1.32281828302402,0.201009208030546,0.166820666268429
insurance,Uninsured,Private,1.98852721246724,1.62675376259493,2.43075538882731,0.201009208030546,0.399713845426376
disability,With disability,Without disability,1.17687035812405,1.03918967555695,1.33279214796733,0.166669012235518,0.19614787104379
young,18-64,65+,2.13166330620637,1.86130462298001,2.44129219630455,0.119513867793197,0.254763430262764
