n,events,estimate,se,lower,upper,df,effective_n,reliability,outcome
7104,1184,0.179151164184807,0.00598000484572344,0.167526543370812,0.191234533290411,1031,4102.60280277178,adequate,any_barrier
7106,1012,0.154528880069117,0.00570581315441124,0.143462810163184,0.166101613283075,1031,4003.62198590542,adequate,universal_barrier
7116,554,0.0850535792966373,0.00431215265440557,0.0767647585190562,0.0939282060498057,1031,4175.22348132409,adequate,delayed_care
7115,541,0.0843756795770691,0.00437244719616038,0.0759752786780512,0.0933839916612469,1031,4031.48621839791,adequate,forgone_care
7103,647,0.100204933990709,0.00495633842914549,0.0906647119145597,0.1103885910441,1031,3661.76551286444,adequate,forgone_rx
6754,635,0.100979135598142,0.004769457026588,0.0917898573150674,0.110758597029226,1022,3981.38588480689,adequate,rx_underuse
