imputation,n,income_imputed,weighted_pct
1,7181,1923,28.3448005049549
2,7181,1923,28.3448005049549
3,7181,1923,28.3448005049549
4,7181,1923,28.3448005049549
5,7181,1923,28.3448005049549
6,7181,1923,28.3448005049549
7,7181,1923,28.3448005049549
8,7181,1923,28.3448005049549
9,7181,1923,28.3448005049549
10,7181,1923,28.3448005049549
