n,events,estimate,se,lower,upper,df,effective_n,reliability,imputation,variable,level
1973,431,0.234597079259671,0.0122190208086546,0.210863050863725,0.259640850802319,676,1198.34914502678,adequate,3,income_group,100-199%
1321,280,0.222053472660995,0.0143658064215219,0.194253556508882,0.251835146903216,507,833.050472866115,adequate,3,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,3,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,3,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,3,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,3,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,3,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,3,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,3,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,4,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,4,young,18-64
1688,119,0.0816241579018569,0.00803413629547551,0.066495332289072,0.0989183378803855,643,1156.97581531123,adequate,4,income_group,400%+
2134,354,0.181527851925542,0.0108015431853737,0.160684279436055,0.203857742210197,716,1269.1298321532,adequate,4,income_group,200-399%
1988,439,0.234842418584687,0.0122581311725539,0.211033180610479,0.259967618477304,686,1191.64000315146,adequate,4,income_group,100-199%
1294,272,0.223066063958058,0.0144832965817641,0.195037986755733,0.253094781244579,509,822.270923823288,adequate,4,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,4,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,4,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,4,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,4,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,4,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,4,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,4,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,5,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,5,young,18-64
1691,125,0.0829302648923835,0.00797849046364046,0.0678892626116677,0.100068014628894,649,1190.2894994473,adequate,5,income_group,400%+
2121,343,0.180018834439167,0.010825339580692,0.159136243290124,0.202411440272043,718,1255.3746464948,adequate,5,income_group,200-399%
1992,441,0.236425289657496,0.012443352653802,0.212254918965329,0.261937685735636,676,1161.75382225342,adequate,5,income_group,100-199%
1300,275,0.220528385631889,0.0145270207918269,0.19242929493552,0.250676007807833,504,810.631236018839,adequate,5,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,5,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,5,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,5,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,5,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,5,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,5,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,5,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,6,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,6,young,18-64
1672,121,0.0811918248018691,0.00807719611692322,0.0659902611468275,0.0985955233264004,651,1139.19883492072,adequate,6,income_group,400%+
2163,346,0.180941382735082,0.0108834476132742,0.159945569176732,0.203452991373763,726,1247.01206504424,adequate,6,income_group,200-399%
1979,440,0.234412593135082,0.0122237423490284,0.210670287116489,0.259467285732471,679,1196.78928427942,adequate,6,income_group,100-199%
1290,277,0.225439874399097,0.0147278177164596,0.196933817093042,0.255982154478846,501,801.139596159878,adequate,6,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,6,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,6,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,6,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,6,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,6,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,6,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,6,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,7,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,7,young,18-64
1687,118,0.079337573538063,0.00806524955990938,0.0641763874533021,0.0967526402223204,646,1118.70305925672,adequate,7,income_group,400%+
2118,343,0.180839042867232,0.0109340376542029,0.159747193984318,0.203462253829356,711,1234.86779116017,adequate,7,income_group,200-399%
1989,440,0.236322916123106,0.0122749241554456,0.212476130779779,0.261476189578088,677,1193.50357783605,adequate,7,income_group,100-199%
1310,283,0.224786771860288,0.0145023906237716,0.196714397575948,0.25484144739824,513,824.633655284395,adequate,7,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,7,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,7,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,7,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,7,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,7,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,7,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,7,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,8,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,8,young,18-64
1673,118,0.08008139773687,0.00817001870301207,0.0647243225502096,0.0977280000875961,639,1099.48218529399,adequate,8,income_group,400%+
2152,347,0.179744389737963,0.010771256625815,0.158965495861759,0.202021150815298,724,1266.53894773472,adequate,8,income_group,200-399%
1970,437,0.23668918944911,0.0124472755481514,0.212510102810229,0.262208793587904,671,1161.88483312294,adequate,8,income_group,100-199%
1309,282,0.22506302733903,0.0148856940563294,0.196259621399179,0.255952319911372,508,783.358339620169,adequate,8,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,8,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,8,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,8,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,8,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,8,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,8,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,8,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,9,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,9,young,18-64
1682,121,0.0831411989043563,0.00827412232752376,0.0675657883334222,0.100967730020493,644,1109.27931790796,adequate,9,income_group,400%+
2115,348,0.182374497214956,0.0108888745443514,0.161362521509238,0.204887565529793,721,1253.41024190827,adequate,9,income_group,200-399%
2014,434,0.226437890857061,0.011876813689571,0.203386272227169,0.250796911325198,678,1237.34971032901,adequate,9,income_group,100-199%
1293,281,0.231275807764668,0.0151374685477009,0.201960901725863,0.262658849073828,504,772.157502875193,adequate,9,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,9,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,9,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,9,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,9,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,9,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,9,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,9,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,10,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,10,young,18-64
1673,123,0.0814002188115715,0.00804074982555475,0.0662620183832444,0.0987140848410337,650,1152.23206194485,adequate,10,income_group,400%+
2132,344,0.180400531341376,0.0109512159945562,0.159278540379735,0.203063755067927,723,1228.73865671551,adequate,10,income_group,200-399%
1996,436,0.234493796125404,0.0121729163970726,0.210849224649337,0.259438984922658,687,1207.14433457836,adequate,10,income_group,100-199%
1303,281,0.224332849881393,0.0145961065567053,0.196083667167788,0.254596727740001,507,812.864658448107,adequate,10,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,10,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,10,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,10,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,10,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,10,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,10,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,10,disability,With disability
