n,events,estimate,se,lower,upper,df,effective_n,reliability,imputation,variable,level
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,1,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,1,young,18-64
1678,120,0.0801165908183346,0.0080217650918019,0.0650253734546064,0.0974124852108647,648,1141.01541413358,adequate,1,income_group,400%+
2136,348,0.17908199089317,0.0106304754089124,0.158571668233054,0.201058270420637,715,1296.50667584586,adequate,1,income_group,200-399%
1988,440,0.239425532254978,0.0122143545854698,0.215685667208023,0.264431978133876,684,1216.27796992481,adequate,1,income_group,100-199%
1302,276,0.22085902083251,0.0146465108587606,0.192531927136975,0.251264034633352,509,798.353105972622,adequate,1,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,1,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,1,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,1,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,1,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,1,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,1,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,1,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,2,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,2,young,18-64
1674,119,0.0807011448804067,0.00809522641603274,0.0654720833073863,0.0981576542454523,648,1127.85835171966,adequate,2,income_group,400%+
2146,347,0.179213379754775,0.0106897944770719,0.158590569026536,0.201317210802743,721,1282.92916486707,adequate,2,income_group,200-399%
1980,435,0.234434313495577,0.011936966126479,0.211242739244048,0.258876601637453,687,1255.11674087713,adequate,2,income_group,100-199%
1304,283,0.228396519880305,0.0146245163124619,0.200073242685726,0.258686844391798,507,820.058164584033,adequate,2,income_group,<100%
2888,423,0.165526256830476,0.00897134691027441,0.148209158101919,0.183998637363775,803,1711.01606982124,adequate,2,insurance,Private
3871,608,0.158425934394889,0.00715299988793179,0.14458508826673,0.173040989491514,867,2598.5362732679,adequate,2,insurance,Public without private
109,17,0.182151474250478,0.0427113184894634,0.103487508292977,0.286396212317866,44,77.2337741147287,adequate,2,insurance,Military only
207,127,0.587243934613047,0.0397216363321915,0.504126006214856,0.666851547487434,110,150.262113154646,adequate,2,insurance,Uninsured
29,9,0.211072750851857,0.0850752661151645,0.0232371283501485,0.595711952714928,3,8.72642793638455,limited,2,insurance,Unknown
4384,642,0.164802429184251,0.00721807309790795,0.150825106369855,0.17952873905543,914,2634.87073973905,adequate,2,disability,Without disability
2720,542,0.201819478332174,0.00961463888594798,0.183173805955007,0.221477861066993,772,1737.14239206394,adequate,2,disability,With disability
4763,526,0.108929676808109,0.00559949143262768,0.0981530207237896,0.120453356638717,933,3087.68874240607,adequate,3,young,65+
2341,658,0.280132542910499,0.0110637478988545,0.258516758076853,0.302537024360808,739,1642.05547587291,adequate,3,young,18-64
1694,129,0.0871392617718406,0.0081409237613358,0.0717664052238671,0.104576469634499,653,1195.80294701634,adequate,3,income_group,400%+
2116,344,0.178253333082482,0.0107121611144036,0.157591876360081,0.20041296924077,719,1272.20777826104,adequate,3,income_group,200-399%
