model,year,estimate,lower,upper,logit_se,df
Fully adjusted logistic,2019,0.191597315825309,0.166047087837004,0.220041702435926,0.0887906686384319,982.860634015821
Fully adjusted logistic,2020,0.17132631228691,0.138351374503382,0.210242883770319,0.128820202913441,982.230582569202
Fully adjusted logistic,2021,0.184971143868883,0.156069641003087,0.217843196196949,0.104334460313485,982.653193967504
Fully adjusted logistic,2022,0.160065245517729,0.135852226217425,0.187656619506194,0.0980612603149896,983.454208854141
Fully adjusted logistic,2023,0.163721960235318,0.138760494816898,0.192171778881205,0.0992831567110995,981.241050643257
Fully adjusted logistic,2024,0.204233940301066,0.177763844411461,0.233526136539059,0.0874102522603017,981.137259629687
Fully adjusted logistic,2025,0.170263489974275,0.143200687787907,0.201239506452777,0.104564627032555,982.64970666808
